id,model_corpus,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
74,AndroidBTM_Stemmed_Palmetto.csv,npmi,-0.003084999,-0.011032848,0.001555779,-0.11639013,0.001887391,-0.087252013,0.001913005,0.015424791,-0.051585807,-0.048189448,-0.029675428
77,AndroidBTM_Stemmed_ToolkitMimno.csv,umass,-0.224661695,-0.455953342,-0.202172974,-0.396075766,-0.437442541,0.355038377,-0.092383067,-0.286486212,-0.511712375,-0.228332507,-0.24801821
78,AndroidDMM_Stemmed_Palmetto.csv,ca,0.247163765,0.066453933,0.030767702,0.051334913,0.06189072,0.017255683,0.053539452,0.087125922,0.260137594,0.053498703,0.092916839
79,AndroidDMM_Stemmed_Palmetto.csv,cp,-0.093521624,-0.157832154,-0.708079517,-0.532873445,-0.162107793,-0.891470778,-0.05053032,-0.070982232,-0.329770134,0.080989588,-0.291617841
80,AndroidDMM_Stemmed_Palmetto.csv,npmi,-0.101845563,-0.034013471,-0.157294075,-0.05903015,-0.012717949,-0.078103518,0.025433696,0.005049506,0.00947506,0.016650366,-0.03863961
83,AndroidDMM_Stemmed_ToolkitMimno.csv,umass,-0.744037295,-0.288668644,-0.544158394,-0.676978712,-0.365746768,-0.651205391,-0.366471064,-0.516533188,-0.704998536,0.233409834,-0.462538816
84,AndroidGPU_PDMM_Stemmed_Palmetto.csv,ca,0.037038144,0.128690353,0.008471525,0.081606938,0.019551187,0.108928515,0.016709131,0.012490755,0.017237647,0.050084867,0.048080906
85,AndroidGPU_PDMM_Stemmed_Palmetto.csv,cp,-0.094442177,0.233207642,-1,-0.721042251,-1,-0.920646536,-0.436900649,-0.7,-0.459197036,-0.319603253,-0.541862426
86,AndroidGPU_PDMM_Stemmed_Palmetto.csv,npmi,0.022018698,-0.10369129,-0.130682257,-0.219687474,-0.149855193,-0.15305302,-0.012568414,0.057629429,-0.025361981,-0.013595091,-0.072884659
89,AndroidGPU_PDMM_Stemmed_ToolkitMimno.csv,umass,-0.663123732,-0.804165873,-0.373076118,-0.235209235,-0.421467505,-0.508757203,-0.512539429,-0.413348334,-0.425186969,-0.628145238,-0.498501964
90,AndroidWNTM_Stemmed_Palmetto.csv,ca,0.050849572,0.19251768,0.098795732,0.097341646,0.11517016,0.013632865,0.047179145,0.112493025,0.061540409,0.022797569,0.08123178
91,AndroidWNTM_Stemmed_Palmetto.csv,cp,-0.38659877,-0.501466164,0.120933962,0.125439705,-0.689719205,-0.62544021,0.112771468,0.131512508,-0.313701894,-0.421185446,-0.244745404
92,AndroidWNTM_Stemmed_Palmetto.csv,npmi,-0.089035702,-0.052725898,0.01554209,0.029491092,-0.09072373,-0.058991195,0.012692403,0.008301838,-0.15665042,-0.009135055,-0.039123458
95,AndroidWNTM_Stemmed_ToolkitMimno.csv,umass,-0.414338508,-0.628323882,-0.28524639,-0.118265684,-0.320082052,-0.019217232,-0.109241318,-0.176219036,-0.630313147,0.415268398,-0.228597885
96,FlutterBTM_Stemmed_Palmetto.csv,ca,0.277555649,0.094659773,0.088762287,0.109075978,0.117076173,0.062014176,0.322406722,0.013457372,0.226759357,0.186800655,0.149856814
97,FlutterBTM_Stemmed_Palmetto.csv,cp,0.138719956,-0.024814352,-0.414339324,-0.162203374,-0.411804658,-0.058945773,-0.423324878,-0.7,-0.09926363,-0.383259562,-0.25392356
98,FlutterBTM_Stemmed_Palmetto.csv,npmi,0.019434461,-0.007053168,-0.07574531,-0.11823919,-0.177068347,-0.002856383,-0.14976189,-0.100571793,-0.130350359,-0.032973205,-0.077518518
101,FlutterBTM_Stemmed_ToolkitMimno.csv,umass,-3.130031697,-2.172511766,-3.168103522,-2.689868419,-3.110922271,-2.927682569,-3.225199891,-3.662693138,-3.761810348,-3.090115324,-3.093893895
102,FlutterDMM_Stemmed_Palmetto.csv,ca,0.318864312,0.463997558,0.124767073,0.301349098,0.287960405,0.121817438,0.275263674,0.178618734,0.263793445,0.094659773,0.243109151
103,FlutterDMM_Stemmed_Palmetto.csv,cp,-0.264370454,-0.049470171,0.015836527,-0.09980594,0.07573972,-0.42869989,0.474020219,-0.68973139,0.04858244,-0.024814352,-0.094271329
104,FlutterDMM_Stemmed_Palmetto.csv,npmi,-0.089686923,0.055385339,-0.03177485,-0.060236324,-0.146211476,-0.010778446,0.04339107,-0.176566023,-0.005609416,-0.007053168,-0.042914022
107,FlutterDMM_Stemmed_ToolkitMimno.csv,umass,-4.088898376,-3.078109102,-2.8561972,-3.360438812,-3.082756221,-2.90372914,-3.190613485,-3.530328541,-3.140128582,-2.189605804,-3.142080526
108,FlutterGPU_PDMM_Stemmed_Palmetto.csv,ca,0.268253748,0.306669044,0.076163691,0.223458405,0.078257826,0.121736065,0.105034357,0.464709236,0.118308558,0.302480715,0.206507164
109,FlutterGPU_PDMM_Stemmed_Palmetto.csv,cp,-0.573960729,0.190195521,-0.372575778,-0.806178137,-0.024626859,0.063827193,-0.060076655,-0.017565915,-0.072235548,0.081359426,-0.159183748
110,FlutterGPU_PDMM_Stemmed_Palmetto.csv,npmi,-0.005559252,0.053478826,-0.120084416,-0.196013728,-0.010583919,0.048011688,-0.075382721,0.028644652,-0.005315218,0.001667666,-0.028113642
113,FlutterGPU_PDMM_Stemmed_ToolkitMimno.csv,umass,-3.478040311,-2.731530015,-3.890967793,-3.695447334,-2.7074421,-3.500320448,-3.428756109,-3.130650665,-3.715965054,-3.512872453,-3.379199228
114,FlutterWNTM_Stemmed_Palmetto.csv,ca,0.096171618,0.116583082,0.163139359,0.167727443,0.038400768,0,0.301837442,0.10207948,0.066927778,0.285469583,0.133833655
115,FlutterWNTM_Stemmed_Palmetto.csv,cp,0.008483551,-0.224836817,-0.459549346,0.417534002,-0.495503694,-0.1,-0.332475297,-0.299903155,-0.188290397,-0.464494713,-0.213903586
116,FlutterWNTM_Stemmed_Palmetto.csv,npmi,-0.041805277,-0.146479163,-0.101381398,0.070688216,-0.090661095,0,-0.082113016,-0.145223912,-0.097885916,-0.146694854,-0.078155641
119,FlutterWNTM_Stemmed_ToolkitMimno.csv,umass,-3.058246245,-2.240482849,-3.427055159,-3.367581757,-1.916410428,-2.644616648,-2.982453256,-3.202779062,-3.542601006,-3.271714249,-2.965394066
120,JenkinsciBTM_Stemmed_Palmetto.csv,ca,0.074846994,0.144562088,0.041417869,0.060428846,0.07448863,0.175137397,0.059032497,0.01826105,0.084593642,0.102861269,0.083563028
121,JenkinsciBTM_Stemmed_Palmetto.csv,cp,-0.153484771,-0.516429787,-0.601237416,-0.8,-0.582492621,-0.91125191,0.290605969,-0.6,-0.223441685,-0.324175849,-0.442190807
122,JenkinsciBTM_Stemmed_Palmetto.csv,npmi,-0.005120488,-0.04201208,-0.118206609,-0.098815835,-0.070005327,-0.124622086,-0.022714724,-0.029728511,-0.053367266,-0.148147526,-0.071274045
125,JenkinsciBTM_Stemmed_ToolkitMimno.csv,umass,-2.449086753,-2.845378728,-2.611698671,-2.587487753,-3.351718064,-2.377788676,-3.166115468,-2.278947453,-2.42781568,-2.978656972,-2.707469422
126,JenkinsciDMM_Stemmed_Palmetto.csv,ca,0.221682203,0.135882317,0.27050133,0.085242319,0.071479046,0.153396084,0.031651408,0.022889969,0.146580994,0.036840109,0.117614578
127,JenkinsciDMM_Stemmed_Palmetto.csv,cp,-0.173627072,-0.496002307,-0.6927599,-0.041819805,-0.3,0.061842553,-0.302947711,-0.011184357,-0.173307769,-0.530612105,-0.266041847
128,JenkinsciDMM_Stemmed_Palmetto.csv,npmi,0.022352942,-0.11061504,-0.127632768,-0.0594197,-0.035974812,-0.037563953,-0.087530524,-0.045371015,-0.069740751,-0.09441886,-0.064591448
131,JenkinsciDMM_Stemmed_ToolkitMimno.csv,umass,-3.369908416,-3.477281021,-2.775733486,-3.232206021,-2.884276796,-2.870999095,-2.644887791,-3.052048782,-3.031579982,-2.859709053,-3.019863044
132,JenkinsciGPU_PDMM_Stemmed_Palmetto.csv,ca,0.051003485,0.051205294,0.068919966,0.250850177,0.035545631,0.102210074,0.078305885,0.123115007,0.053676699,0.216726574,0.103155879
133,JenkinsciGPU_PDMM_Stemmed_Palmetto.csv,cp,-0.550432288,-0.702947711,-0.6,-0.673298698,-0.652155481,0.083374367,-0.062120001,0.124896408,-0.219005167,-0.465515179,-0.371720375
134,JenkinsciGPU_PDMM_Stemmed_Palmetto.csv,npmi,-0.160210513,-0.190838834,-0.044618987,-0.148660614,-0.134472653,0.013053116,-0.061279025,0.026034722,0.015742664,-0.189452828,-0.087470295
137,JenkinsciGPU_PDMM_Stemmed_ToolkitMimno.csv,umass,-2.856195054,-2.958493433,-2.913358314,-2.602884706,-3.207602024,-3.283834152,-3.16899079,-3.231487338,-3.613511724,-3.717682347,-3.155403988
138,JenkinsciWNTM_Stemmed_Palmetto.csv,ca,0.118951174,0.135382411,0.109522111,0.094790198,0.101717285,0.31861012,0.16629609,0.138750312,0.175129412,0.081191218,0.144034033
139,JenkinsciWNTM_Stemmed_Palmetto.csv,cp,-0.1429708,0.091246693,0.041282055,-0.024899152,-0.402834897,-0.33060586,-0.596122795,-0.514158892,-0.052141005,-0.622334581,-0.255353923
140,JenkinsciWNTM_Stemmed_Palmetto.csv,npmi,-0.087422992,0.031633462,-0.002933928,0.0195683,-0.063817595,-0.055798472,-0.11061504,-0.148482627,-0.038935746,-0.181900846,-0.063870548
143,JenkinsciWNTM_Stemmed_ToolkitMimno.csv,umass,-2.729314422,-2.97400479,-2.513500514,-3.384534128,-2.852923901,-2.277759506,-3.187076007,-2.495673872,-3.271015896,-2.89569183,-2.858149487
