corpus,model,normalization,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
Laravel,WNTM,lemma,umass,-2.560753954,-2.62215511,-3.68170193,-2.105455513,-2.689519929,-3.050054913,-2.733583293,-8.297632833,-2.978358746,-1.93549204,-3.265470826
Laravel,LDA,lemma,ca,0.17303373,0.452834558,0.247598255,0.375626711,0.540041007,0.046971962,-0.012821598,0.583441231,0.495838274,0.618977267,0.35215414
Laravel,LDA,lemma,cp,-0.309779336,0.195625358,0.019452678,-0.053761864,0.191413473,-0.052409281,-0.335346417,0.446465858,0.216956759,-0.336707966,-0.001809074
Laravel,LDA,lemma,npmi,-0.048183554,0.028207931,-0.073358087,-0.029837052,0.040776713,-0.043643785,-0.241140697,0.096852828,0.039427498,-0.001125113,-0.023202332
Laravel,LDA,lemma,umass,-1.717719514,-1.838609331,-3.713691712,-2.119974402,-1.170369486,-2.95603306,-3.762338874,-3.096039292,-2.423871968,-0.895560924,-2.369420856
GitterHQ,BTM,lemma,ca,0.465576414,0.06715957,-0.051627108,0.193462917,0.334260703,0.60501931,0.284800478,0.482576887,0.436956244,0.574277294,0.339246271
GitterHQ,BTM,lemma,cp,0.375943039,-0.12776691,-0.419516662,0.022681901,0.154027802,0.275536418,0.252574697,-0.118604845,-0.004586752,0.117263811,0.05275525
GitterHQ,BTM,lemma,npmi,0.115278399,-0.126774384,-0.148797133,0.005722693,0.020677441,0.06080847,0.058261999,-0.065450821,-0.066638901,0.040802182,-0.010611006
GitterHQ,BTM,lemma,umass,-2.61518237,-8.021396164,-9.919441775,-4.362318569,-2.961264069,-2.769798031,-2.805723103,-2.72308579,-2.785836176,-1.359439916,-4.032348596
GitterHQ,DMM,lemma,ca,0.586834597,0.328713255,0.298913866,0.586205943,0.467343003,0.31700271,0.502130181,0.494968472,0.555406213,-0.004258991,0.413325925
GitterHQ,DMM,lemma,cp,0.163524345,0.220352457,0.003642484,0.431441419,0.010706254,0.028198275,0.198670336,0.102815522,0.222465191,0.003630045,0.138544633
GitterHQ,DMM,lemma,npmi,0.054730397,0.019684083,-0.020499632,0.093029271,-0.017047744,-0.000895549,0.027308591,0.029440105,0.047113994,-0.123372439,0.010949108
GitterHQ,DMM,lemma,umass,-2.022063435,-3.056631124,-8.159922072,-1.393413499,-1.220405034,-1.9377635,-2.663362776,-2.870870015,-1.282534425,-3.557001291,-2.816396717
GitterHQ,GPU-PDMM,lemma,ca,0.506385524,0.543066191,0.204553489,0.447302266,0.644405129,0.312850416,0.480016265,0.427561317,0.566212022,0.481037535,0.461339015
GitterHQ,GPU-PDMM,lemma,cp,-0.075972592,0.164359782,0.382743038,-0.029098021,0.431850685,-0.079610153,0.103338995,0.29108102,0.153504111,0.527263029,0.186945989
GitterHQ,GPU-PDMM,lemma,npmi,-0.034723562,0.025743605,0.018128317,-0.075644058,0.10654736,0.021688963,0.029440105,0.072870099,0.040550331,0.134383463,0.033898462
GitterHQ,GPU-PDMM,lemma,umass,-2.733441593,-1.537178109,-2.040262819,-2.408474681,-3.270523941,-9.083553925,-2.745514253,-2.558053833,-1.564091117,-2.174903994,-3.011599826
GitterHQ,WNTM,lemma,ca,0.44490838,0.242622625,0.058064481,0.335467655,0.540177685,0.406337737,0.635186573,0.695858573,0.653739288,0.611690887,0.462405388
GitterHQ,WNTM,lemma,cp,0.094218922,0.187100699,-0.259922292,0.170611188,0.017925311,0.051577651,0.59385437,0.760680492,0.448921876,0.095765904,0.216073412
GitterHQ,WNTM,lemma,npmi,-0.011155104,0.037920298,-0.097727329,0.036873388,-0.010716784,-0.01139681,0.122189413,0.200736426,0.113620378,-0.032548248,0.034779563
GitterHQ,WNTM,lemma,umass,-2.762979863,-3.351784356,-6.677778022,-2.789556469,-1.048337266,-2.614810513,-2.67244484,-2.378874629,-2.859718412,-2.703252484,-2.985953685
GitterHQ,LDA,lemma,ca,0.023723529,0.777631527,0.54284508,0.437406165,0.536930256,0.436956244,0.600020987,0.581696143,0.54864942,0.7495773,0.523543665
GitterHQ,LDA,lemma,cp,-0.545720416,0.59673798,0.176966757,0.345938718,0.280937776,-0.003695024,0.435603422,0.169377854,0.18186361,0.758501981,0.239651266
GitterHQ,LDA,lemma,npmi,-0.104635222,0.198595404,0.011851806,0.106138874,0.072619916,-0.066638901,0.110794199,0.006064958,0.043778319,0.200736426,0.057930578
GitterHQ,LDA,lemma,umass,-7.908571379,-3.450742998,-1.449638642,-2.987474251,-3.759663505,-2.296493824,-2.528778627,-1.605094619,-1.41904462,-1.732348762,-2.913785123
Locomotive,BTM,lemma,ca,0.565404128,0.348347752,0.041889235,0.666821834,0.101079716,0.39679192,0.302130509,0.509693936,0.126030288,0.054403528,0.311259285
